id,typ,ueberschrift,kalk_position,ANS_PLJ,ANS_VJ,PLAN_FJ1,RE_VVJ
0,ERGHHG,"Ergebnisplan","Steuern und �hnliche Abgaben",109967303.0,100861304.0,114743897.0,103564714.2
1,ERGHHG,"Ergebnisplan","Zuwendungen und allgemeine Umlagen",65680282.14,64185627.03,73045848.4,54399130.9
2,ERGHHG,"Ergebnisplan","Sonstige Transferertr�ge",1369535.0,1324506.0,1416091.0,1309021.8
3,ERGHHG,"Ergebnisplan","�ffentlich-rechtliche Leistungsentgelte",36858244.12,36117781.37,37084604.59,33683573.93
4,ERGHHG,"Ergebnisplan","Privatrechtliche Leistungsentgelte",2216013.14,2345585.29,2261561.08,2255730.23
5,ERGHHG,"Ergebnisplan","Kostenerstattungen und Kostenumlagen",6039294.0,5913975.0,6091419.0,5904790.42
6,ERGHHG,"Ergebnisplan","Sonstige ordentliche Ertr�ge",10682101.0,10299134.0,10886120.0,11370893.18
7,ERGHHG,"Ergebnisplan","Aktivierte Eigenleistungen",500000.0,683000.0,500000.0,98411.15
8,ERGHHG,"Ergebnisplan","Bestandsver�nderungen",0.0,0.0,0.0,0.0
9,ERGHHG,"Ergebnisplan","Ordentliche Ertr�ge",233312772.4,221730912.69,246029541.07,212586265.81
10,ERGHHG,"Ergebnisplan","Personalaufwendungen",-39438806.95,-41292111.21,-40258292.07,-43144702.9
11,ERGHHG,"Ergebnisplan","Versorgungsaufwendungen",-4214175.84,-3463364.79,-4277389.4,-7458636.4
12,ERGHHG,"Ergebnisplan","Aufwendungen f�r Sach- und Dienstleistungen",-37286855.0,-39063375.0,-37261630.0,-37176081.32
13,ERGHHG,"Ergebnisplan","Bilanzielle Abschreibungen",-33907609.61,-33550842.4,-33141290.33,-32852082.19
14,ERGHHG,"Ergebnisplan","Transferaufwendungen",-102177634.0,-95699892.0,-105284811.0,-96610646.5
15,ERGHHG,"Ergebnisplan","Sonstige ordentliche Aufwendungen",-21280799.0,-21466387.21,-21367163.0,-20876817.47
16,ERGHHG,"Ergebnisplan","Ordentliche Aufwendungen",-238305880.4,-234535972.61,-241590575.8,-238118966.78
17,ERGHHG,"Ergebnisplan","Ordentliches Ergebnis (Zeilen 10 und 17)",-4993108.0,-12805059.92,4438965.27,-25532700.97
18,ERGHHG,"Ergebnisplan","Finanzertr�ge",1293273.0,2621386.0,1876822.0,1880355.22
19,ERGHHG,"Ergebnisplan","Zinsen und sonstige Finanzaufwendungen",-16860967.0,-17267523.0,-17385709.0,-16530269.15
20,ERGHHG,"Ergebnisplan","Finanzergebnis (Zeilen 19 und 20)",-15567694.0,-14646137.0,-15508887.0,-14649913.93
21,ERGHHG,"Ergebnisplan","Ergebnis der laufenden Verwaltungst�tigkeit (Zeilen 18 und 21)",-20560802.0,-27451196.92,-11069921.73,-40182614.9
22,ERGHHG,"Ergebnisplan","Au�erordentliche Ertr�ge",0.0,0.0,0.0,0.0
23,ERGHHG,"Ergebnisplan","Au�erordentliche Aufwendungen",0.0,0.0,0.0,0.0
24,ERGHHG,"Ergebnisplan","Au�erordentliches Ergebnis (Zeilen 23 und 24)",0.0,0.0,0.0,0.0
25,ERGHHG,"Ergebnisplan","Jahresergebnis (Zeilen 22 und 25)",-20560802.0,-27451196.92,-11069921.73,-40182614.9
26,FINHHG,"Finanzplan","Steuern und �hnliche Abgaben",109967303.0,100861304.0,114743897.0,96315407.27
27,FINHHG,"Finanzplan","Zuwendungen und allgemeine Umlage",60436508.33,60109576.55,67795313.38,49439681.4
28,FINHHG,"Finanzplan","Sonstige Transfereinzahlungen",1369535.0,1324506.0,1416091.0,1161369.26
29,FINHHG,"Finanzplan","�ffentlich-rechtliche Leistungsentgelte",31469599.12,30466790.83,31966102.26,22612305.45
30,FINHHG,"Finanzplan","Privatrechtliche Leistungsentgelte",2216013.14,2345585.29,2261561.08,2077169.87
31,FINHHG,"Finanzplan","Kostenerstattungen und Kostenumlagen",6039294.0,5913975.0,6091419.0,3576445.1
32,FINHHG,"Finanzplan","Sonstige Einzahlungen",10182101.0,10175394.0,10386120.0,7109012.0
33,FINHHG,"Finanzplan","Zinsen und sonstige Finanzeinzahlungen",1303033.0,2671906.0,1879742.0,1602669.0
34,FINHHG,"Finanzplan","Einzahlungen aus laufender Verwaltungst�tigkeit",222983386.59,213869037.67,236540245.72,183894059.35
35,FINHHG,"Finanzplan","Personalauszahlungen",-35847261.84,-36607767.05,-36612875.12,-38465051.47
36,FINHHG,"Finanzplan","Versorgungsauszahlungen",-5274627.05,-4949610.25,-5333890.19,-5622613.98
37,FINHHG,"Finanzplan","Auszahlungen f�r Sach- und Dienstleistungen",-37286855.0,-39063375.0,-37261630.0,-35960765.0
38,FINHHG,"Finanzplan","Zinsen und sonstige Finanzauszahlungen",-16913844.0,-17371240.0,-17421267.0,-16598443.18
39,FINHHG,"Finanzplan","Transferauszahlungen",-102177634.0,-95699892.0,-105284811.0,-92670197.45
40,FINHHG,"Finanzplan","Sonstige Auszahlungen",-21728863.64,-21803325.29,-21804656.25,-21290647.11
41,FINHHG,"Finanzplan","Auszahlungen aus laufender Verwaltungst�tigkeit",-219229085.53,-215495209.59,-223719129.56,-210607718.19
42,FINHHG,"Finanzplan","Saldo aus laufender Verwaltungst�tigkeit (= Zeilen 9 und 16)",3754301.06,-1626171.92,12821116.16,-26713658.84
43,FINHHG,"Finanzplan","Zuwendungen f�r Investitionsma�nahmen",7412799.0,9634500.0,7025899.0,16619709.39
44,FINHHG,"Finanzplan","Einzahlungen aus der Ver�u�erung von Sachanlagen",5069000.0,5869000.0,900000.0,1046820.47
45,FINHHG,"Finanzplan","Einzahlungen aus der Ver�u�erung von Finanzanlagen",0.0,0.0,0.0,0.0
46,FINHHG,"Finanzplan","Einzahlungen aus Beitr�gen und �hnlichen Entgelten",2798000.0,411833.0,950000.0,846761.0
47,FINHHG,"Finanzplan","Sonstige Investitionseinzahlungen",19162.0,0.0,18217.0,17872.04
48,FINHHG,"Finanzplan","Einzahlungen aus Investitionst�tigkeit",15298961.0,15915333.0,8894116.0,18531162.9
49,FINHHG,"Finanzplan","Auszahlungen f�r Erwerb von Grundst�cken und Geb�uden",-152000.0,-150000.0,-155000.0,-212727.61
50,FINHHG,"Finanzplan","Auszahlungen f�r Bauma�nahmen",-21182438.0,-31688357.0,-30089266.0,-29906422.5
51,FINHHG,"Finanzplan","Auszahlungen f�r den Erwerb von beweglichem Anlageverm�gen",-2839998.5,-4047809.0,-2172526.0,-1716041.51
52,FINHHG,"Finanzplan","Auszahlungen f�r den Erwerb von Finanzanlagen",0.0,0.0,0.0,0.0
53,FINHHG,"Finanzplan","Auszahlungen von aktivierbaren Zuwendungen",-36000.0,0.0,0.0,-26736.01
54,FINHHG,"Finanzplan","Sonstige Investitionsauszahlungen",0.0,0.0,0.0,0.0
55,FINHHG,"Finanzplan","Auszahlungen aus Investitionst�tigkeit",-24210436.5,-35886166.0,-32416792.0,-31861927.63
56,FINHHG,"Finanzplan","Saldo aus Investitionst�tigkeit (= Zeilen 23 und 30)",-8911475.5,-19970833.0,-23522676.0,-13330764.73
57,FINHHG,"Finanzplan","Finanzmittel�berschuss/-fehlbetrag (= Zeilen 17 und 31)",-5157174.44,-21597004.92,-10701559.84,-40044423.57
58,FINHHG,"Finanzplan","Aufnahme und R�ckfl�sse von Darlehen",28875290.0,36781846.0,25864184.0,1464748778.63
59,FINHHG,"Finanzplan","Tilgung und Gew�hrung von Darlehen",-36215351.0,-39662676.0,-23469761.0,-1434827699.6
60,FINHHG,"Finanzplan","Saldo aus Finanzierungst�tigkeit",-7340061.0,-2880830.0,2394423.0,29921079.03
61,FINHHG,"Finanzplan","�nderung des Bestandes an eigenen Finanzmitteln (= Zeilen 32 und 35)",-12497235.44,-24477834.92,-8307136.84,-10123344.54
62,FINHHG,"Finanzplan","Anfangsbestand an Finanzmitteln",0.0,0.0,0.0,0.0
63,FINHHG,"Finanzplan","Liquide Mittel (= Zeilen 36 und 37)",-12497235.44,-24477834.92,-8307136.84,-10123344.54
64,ERGHHT,"01/Innere Verwaltung","Steuern und �hnliche Abgaben",0.0,0.0,0.0,0.0
65,ERGHHT,"01/Innere Verwaltung","Zuwendungen und allgemeine Umlagen",951067.75,249782.33,941167.68,238265.84
66,ERGHHT,"01/Innere Verwaltung","Sonstige Transferertr�ge",0.0,0.0,0.0,0.0
67,ERGHHT,"01/Innere Verwaltung","�ffentlich-rechtliche Leistungsentgelte",32481.0,31710.0,33279.0,26199.21
68,ERGHHT,"01/Innere Verwaltung","Privatrechtliche Leistungsentgelte",778356.0,748060.0,844163.0,656475.09
69,ERGHHT,"01/Innere Verwaltung","Kostenerstattungen und Kostenumlagen",4262680.0,4277391.0,4246915.0,2189097.94
70,ERGHHT,"01/Innere Verwaltung","Sonstige ordentliche Ertr�ge",847133.0,459645.0,858746.0,1856376.99
71,ERGHHT,"01/Innere Verwaltung","Aktivierte Eigenleistungen",0.0,0.0,0.0,0.0
72,ERGHHT,"01/Innere Verwaltung","Bestandsver�nderungen",0.0,0.0,0.0,0.0
73,ERGHHT,"01/Innere Verwaltung","Ordentliche Ertr�ge",6871717.75,5766588.33,6924270.68,4966415.07
74,ERGHHT,"01/Innere Verwaltung","Personalaufwendungen",-9573202.53,-10079910.41,-9794252.51,-9841289.24
75,ERGHHT,"01/Innere Verwaltung","Versorgungsaufwendungen",-2137600.07,-1797304.04,-2169664.59,-2141613.84
76,ERGHHT,"01/Innere Verwaltung","Aufwendungen f�r Sach- und Dienstleistungen",-2647791.08,-3474612.0,-2676110.0,-1898871.95
77,ERGHHT,"01/Innere Verwaltung","Bilanzielle Abschreibungen",-2641682.65,-1449646.26,-2627597.91,-1425635.58
78,ERGHHT,"01/Innere Verwaltung","Transferaufwendungen",0.0,0.0,0.0,0.0
79,ERGHHT,"01/Innere Verwaltung","Sonstige ordentliche Aufwendungen",-5339956.0,-5435492.2,-5373956.0,-5481640.69
80,ERGHHT,"01/Innere Verwaltung","Ordentliche Aufwendungen",-22340232.33,-22236964.91,-22641581.01,-20789051.3
81,ERGHHT,"01/Innere Verwaltung","Ordentliches Ergebnis (= Zeilen 10 und 17)",-15468514.58,-16470376.58,-15717310.33,-15822636.23
82,ERGHHT,"01/Innere Verwaltung","Finanzertr�ge",123.0,128.0,121.0,208.73
83,ERGHHT,"01/Innere Verwaltung","Zinsen und sonstige Finanzaufwendungen",-25200.0,-25200.0,-25200.0,-16134.13
84,ERGHHT,"01/Innere Verwaltung","Finanzergebnis (= Zeilen 19 und 20)",-25077.0,-25072.0,-25079.0,-15925.4
85,ERGHHT,"01/Innere Verwaltung","Ergebnis der laufenden Verwaltungst�tigkeit (= Zeilen 18 und 21)",-15493591.58,-16495448.58,-15742389.33,-15838561.63
86,ERGHHT,"01/Innere Verwaltung","Au�erordentliche Ertr�ge",0.0,0.0,0.0,0.0
87,ERGHHT,"01/Innere Verwaltung","Au�erordentliche Aufwendungen",0.0,0.0,0.0,0.0
88,ERGHHT,"01/Innere Verwaltung","Au�erordentliches Ergebnis (= Zeilen 23 und 24)",0.0,0.0,0.0,0.0
89,ERGHHT,"01/Innere Verwaltung","Ergebnis - vor Ber�cksichtigung der internen Leistungsbeziehungen - (= Zeilen 22 und 25)",-15493591.58,-16495448.58,-15742389.33,-15838561.63
90,ERGHHT,"01/Innere Verwaltung","Ertr�ge aus internen Leistungsbeziehungen (48er)",577163.0,703793.0,578463.0,684799.0
91,ERGHHT,"01/Innere Verwaltung","Ertr�ge aus internen Leistungsbeziehungen (9er)",0.0,0.0,0.0,0.0
92,ERGHHT,"01/Innere Verwaltung","Ergebnis (= Zeilen 27, 28)",577163.0,703793.0,578463.0,684799.0
93,ERGHHT,"01/Innere Verwaltung","Aufwendungen aus internen Leistungsbeziehungen (58er)",0.0,0.0,0.0,0.0
94,ERGHHT,"01/Innere Verwaltung","Aufwendungen aus internen Leistungsbeziehungen (9er)",0.0,0.0,0.0,0.0
95,ERGHHT,"01/Innere Verwaltung","Ergebnis (= Zeilen 30, 31)",0.0,0.0,0.0,0.0
96,ERGHHT,"01/Innere Verwaltung","Ergebnis (= Zeilen 26, 29, 32)",-14916428.58,-15791655.58,-15163926.33,-15153762.63
97,FINHHT,"01/Innere Verwaltung","Einzahlungen aus Zuwendungen f�r Investitionsma�nahmen",5600.0,5600.0,5600.0,4891.56
98,FINHHT,"01/Innere Verwaltung","Einzahlungen aus der Ver�u�erung von Sachanlagen",5069000.0,5869000.0,900000.0,777042.25
99,FINHHT,"01/Innere Verwaltung","Einzahlungen aus der Ver�u�erung von Finanzanlagen",0.0,0.0,0.0,0.0
100,FINHHT,"01/Innere Verwaltung","Einzahlungen aus Beitr�gen und �hnlichen Entgelten",0.0,0.0,0.0,0.0
101,FINHHT,"01/Innere Verwaltung","Sonstige Investitionseinzahlungen",0.0,0.0,0.0,0.0
102,FINHHT,"01/Innere Verwaltung","Summe (investive Einzahlungen)",5074600.0,5874600.0,905600.0,781933.81
103,FINHHT,"01/Innere Verwaltung","Auszahlungen f�r den Erwerb von Grundst�cken und Geb�uden",-82000.0,-82000.0,-84000.0,-147881.29
104,FINHHT,"01/Innere Verwaltung","Auszahlungen f�r Bauma�nahmen",0.0,0.0,0.0,0.0
105,FINHHT,"01/Innere Verwaltung","Auszahlungen f�r den Erwerb von beweglichen Anlageverm�gen",-113713.0,-132152.0,-103800.0,-81658.66
106,FINHHT,"01/Innere Verwaltung","Auszahlungen f�r den Erwerb von Finanzanlagen",0.0,0.0,0.0,0.0
107,FINHHT,"01/Innere Verwaltung","Auszahlungen von aktivierbaren Zuwendungen",0.0,0.0,0.0,0.0
108,FINHHT,"01/Innere Verwaltung","Sonstige Investitionsauszahlungen",0.0,0.0,0.0,0.0
109,FINHHT,"01/Innere Verwaltung","Summe (investive Auszahlungen)",-195713.0,-214152.0,-187800.0,-229539.95
110,FINHHT,"01/Innere Verwaltung","Saldo der Investitionst�tigkeit (Einzahlungen ./. Auszahlungen)",4878887.0,5660448.0,717800.0,552393.86
111,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Steuern und �hnliche Abgaben",0.0,0.0,0.0,0.0
112,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Zuwendungen und allgemeine Umlagen",0.0,0.0,0.0,0.0
113,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Sonstige Transferertr�ge",0.0,0.0,0.0,0.0
114,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","�ffentlich-rechtliche Leistungsentgelte",0.0,0.0,0.0,0.0
115,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Privatrechtliche Leistungsentgelte",60.0,58.0,62.0,0.0
116,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Kostenerstattungen und Kostenumlagen",10674.0,10674.0,10674.0,13031.49
117,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Sonstige ordentliche Ertr�ge",0.0,0.0,0.0,0.0
118,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Aktivierte Eigenleistungen",0.0,0.0,0.0,0.0
119,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Bestandsver�nderungen",0.0,0.0,0.0,0.0
120,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ordentliche Ertr�ge",10734.0,10732.0,10736.0,13031.49
121,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Personalaufwendungen",-140767.27,-140372.82,-143657.28,-157268.15
122,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Versorgungsaufwendungen",-9838.14,-8007.49,-9985.72,-25264.42
123,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Aufwendungen f�r Sach- und Dienstleistungen",-9123.0,-12725.0,-9161.0,-47647.44
124,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Bilanzielle Abschreibungen",-26882.33,-5945.0,-22718.67,-8459.17
125,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Transferaufwendungen",0.0,0.0,0.0,0.0
126,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Sonstige ordentliche Aufwendungen",-797064.0,-889650.54,-801324.0,-899971.28
127,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ordentliche Aufwendungen",-983674.74,-1056700.85,-986846.67,-1138610.46
128,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ordentliches Ergebnis (= Zeilen 10 und 17)",-972940.74,-1045968.85,-976110.67,-1125578.97
129,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Finanzertr�ge",0.0,0.0,0.0,0.0
130,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Zinsen und sonstige Finanzaufwendungen",0.0,0.0,0.0,0.0
131,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Finanzergebnis (= Zeilen 19 und 20)",0.0,0.0,0.0,0.0
132,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ergebnis der laufenden Verwaltungst�tigkeit (= Zeilen 18 und 21)",-972940.74,-1045968.85,-976110.67,-1125578.97
133,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Au�erordentliche Ertr�ge",0.0,0.0,0.0,0.0
134,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Au�erordentliche Aufwendungen",0.0,0.0,0.0,0.0
135,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Au�erordentliches Ergebnis (= Zeilen 23 und 24)",0.0,0.0,0.0,0.0
136,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ergebnis - vor Ber�cksichtigung der internen Leistungsbeziehungen - (= Zeilen 22 und 25)",-972940.74,-1045968.85,-976110.67,-1125578.97
137,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ertr�ge aus internen Leistungsbeziehungen (48er)",0.0,0.0,0.0,0.0
138,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ertr�ge aus internen Leistungsbeziehungen (9er)",0.0,0.0,0.0,0.0
